id,original_type,x,y,z,r,parent,section_id,label,custom_type_code
1,1,0.0,0.0,0.0,8.472,-1,1,primary_apical_trunk,4
2,1,0.0,0.0,0.0,8.472,1,2,soma,1
3,1,0.0,0.0,0.0,8.472,1,3,soma,1
4,3,0.0,0.0,0.0,1.365,1,4,primary_apical_trunk,4
5,3,-0.52,-1.39,0.16,1.365,4,4,primary_apical_trunk,4
6,3,-1.29,-1.9,0.21,1.365,5,4,primary_apical_trunk,4
7,3,-1.53,-1.87,0.25,1.365,6,4,primary_apical_trunk,4
8,3,-2.61,-1.74,0.25,1.365,7,4,primary_apical_trunk,4
9,3,-4.23,-2.17,0.35,1.33,8,4,primary_apical_trunk,4
10,3,-4.3,-2.33,0.35,1.33,9,4,primary_apical_trunk,4
11,3,-4.85,-3.44,0.35,1.33,10,4,primary_apical_trunk,4
12,3,-4.71,-4.5,0.41,1.33,11,4,primary_apical_trunk,4
13,3,-4.27,-5.44,0.41,1.33,12,4,primary_apical_trunk,4
14,3,-2.98,-5.83,0.46,1.33,13,4,primary_apical_trunk,4
15,3,-2.06,-6.3,0.46,1.33,14,4,primary_apical_trunk,4
16,3,-0.95,-6.2,0.46,1.33,15,4,primary_apical_trunk,4
17,3,-0.13,-6.61,0.46,1.33,16,4,primary_apical_trunk,4
18,3,0.81,-7.39,1.66,1.22,17,4,primary_apical_trunk,4
19,3,0.96,-7.56,1.67,1.22,18,4,primary_apical_trunk,4
20,3,1.61,-8.11,1.67,1.22,19,4,primary_apical_trunk,4
21,3,2.6,-8.11,1.71,1.22,20,4,primary_apical_trunk,4
22,3,3.87,-7.67,-0.19,1.22,21,4,primary_apical_trunk,4
23,3,4.71,-7.17,-0.34,1.22,22,4,primary_apical_trunk,4
24,3,6.0,-7.23,-0.4,1.22,23,4,primary_apical_trunk,4
25,3,6.65,-8.39,-1.25,1.22,24,4,primary_apical_trunk,4
26,3,6.56,-9.73,-1.69,1.405,25,4,primary_apical_trunk,4
27,3,6.93,-10.5,-1.59,1.405,26,4,primary_apical_trunk,4
28,3,6.93,-10.5,-1.59,0.96,27,5,primary_apical_trunk,4
29,3,6.93,-10.5,-1.59,0.96,28,6,primary_apical_trunk,4
30,3,7.75,-9.83,-1.59,0.96,29,6,primary_apical_trunk,4
31,3,8.96,-9.36,-1.59,0.96,30,6,primary_apical_trunk,4
32,3,10.16,-9.63,-1.59,0.96,31,6,primary_apical_trunk,4
33,3,11.18,-9.89,-1.59,0.96,32,6,primary_apical_trunk,4
34,3,12.33,-10.53,-1.8,0.96,33,6,primary_apical_trunk,4
35,3,13.2,-10.47,-1.84,0.96,34,6,primary_apical_trunk,4
36,3,14.05,-10.23,-1.95,0.96,35,6,primary_apical_trunk,4
37,3,14.89,-9.73,-3.19,0.96,36,6,primary_apical_trunk,4
38,3,15.84,-9.96,-3.44,0.96,37,6,primary_apical_trunk,4
39,3,16.8,-10.18,-3.48,0.96,38,6,primary_apical_trunk,4
40,3,17.62,-10.34,-3.69,0.96,39,6,primary_apical_trunk,4
41,3,18.39,-10.47,-3.85,0.96,40,6,primary_apical_trunk,4
42,3,18.92,-10.73,-3.89,0.96,41,6,primary_apical_trunk,4
43,3,19.35,-11.03,-4.1,0.96,42,6,primary_apical_trunk,4
44,3,19.54,-11.12,-4.14,0.96,43,6,primary_apical_trunk,4
45,3,20.24,-11.88,-4.73,0.96,44,6,primary_apical_trunk,4
46,3,20.47,-11.91,-4.73,0.96,45,6,primary_apical_trunk,4
47,3,21.31,-11.74,-4.73,0.96,46,6,primary_apical_trunk,4
48,3,21.67,-11.02,-4.8,0.96,47,6,primary_apical_trunk,4
49,3,21.85,-10.3,-4.85,0.96,48,6,primary_apical_trunk,4
50,3,21.1,-9.66,-5.94,0.96,49,6,primary_apical_trunk,4
51,3,20.76,-9.18,-5.98,0.96,50,6,primary_apical_trunk,4
52,3,20.49,-8.55,-5.98,0.96,51,6,primary_apical_trunk,4
53,3,21.44,-7.95,-6.73,1.185,52,6,primary_apical_trunk,4
54,3,22.1,-8.1,-6.73,1.185,53,6,primary_apical_trunk,4
55,3,22.1,-8.1,-6.73,0.925,54,7,primary_apical_trunk,4
56,3,23.35,-8.56,-6.8,0.74,55,7,primary_apical_trunk,4
57,3,24.39,-8.98,-6.8,0.74,56,7,primary_apical_trunk,4
58,3,24.39,-8.98,-6.8,0.185,57,8,primary_apical_trunk,4
59,3,24.43,-9.23,-6.8,0.185,58,8,primary_apical_trunk,4
60,3,24.8,-10.15,-6.8,0.185,59,8,primary_apical_trunk,4
61,3,24.79,-10.32,-6.8,0.185,60,8,primary_apical_trunk,4
62,3,25.57,-11.46,-6.98,0.26,61,8,primary_apical_trunk,4
63,3,26.79,-12.61,-7.19,0.335,62,8,primary_apical_trunk,4
64,3,26.84,-12.73,-7.19,0.335,63,8,primary_apical_trunk,4
65,3,27.59,-13.5,-7.23,0.335,64,8,primary_apical_trunk,4
66,3,27.62,-13.6,-7.23,0.335,65,8,primary_apical_trunk,4
67,3,28.13,-14.42,-7.23,0.335,66,8,primary_apical_trunk,4
